ID,Number,Name,Meaning,Verses
1,1,Al-Fatihah,The Opening,7
2,2,Al-Baqarah,The Cow,286
3,3,Al-Imran,The Family of Imran,200
4,4,An-Nisa,The Women,176
5,5,Al-Maidah,The Table Spread,120
6,6,Al-Anam,The Cattle,165
7,7,Al-Araf,The Heights,206
8,8,Al-Anfal,The Spoils of War,75
9,9,At-Tawbah,The Repentance,129
10,10,Yunus,Jonah,109
11,11,Hud,Hud,123
12,12,Yusuf,Joseph,111
13,13,Ar-Rad,The Thunder,43
14,14,Ibrahim,Abraham,52
15,15,Al-Hijr,The Rocky Tract,99
16,16,An-Nahl,The Bee,128
17,17,Al-Isra,The Night Journey,111
18,18,Al-Kahf,The Cave,110
19,19,Maryam,Mary,98
20,20,Ta-Ha,Ta Ha,135
21,21,Al-Anbiya,The Prophets,112
22,22,Al-Hajj,The Pilgrimage,78
23,23,Al-Muminun,The Believers,118
24,24,An-Nur,The Light,64
25,25,Al-Furqan,The Criterion,77
26,26,Ash-Shuara,The Poets,227
27,27,An-Naml,The Ant,93
28,28,Al-Qasas,The Stories,88
29,29,Al-Ankabut,The Spider,69
30,30,Ar-Rum,The Romans,60
31,31,Luqman,Luqman,34
32,32,As-Sajdah,The Prostration,30
33,33,Al-Ahzab,The Combined Forces,73
34,34,Saba,Sheba,54
35,35,Fatir,The Originator,45
36,36,Ya-Sin,Ya Sin,83
37,37,As-Saffat,Those Who Set the Ranks,182
38,38,Sad,Sad,88
39,39,Az-Zumar,The Troops,75
40,40,Ghafir,The Forgiver,85
41,41,Fussilat,Explained in Detail,54
42,42,Ash-Shura,The Consultation,53
43,43,Az-Zukhruf,The Ornaments of Gold,89
44,44,Ad-Dukhan,The Smoke,59
45,45,Al-Jathiyah,The Crouching,37
46,46,Al-Ahqaf,The Sand Dunes,35
47,47,Muhammad,Muhammad,38
48,48,Al-Fath,The Victory,29
49,49,Al-Hujurat,The Rooms,18
50,50,Qaf,Qaf,45
