surah_no,ayah_no,ayah_text,juz_no
103,1,والعصر,30
103,2,إن الإنسان لفي خسر,30
103,3,إلا الذين آمنوا وعملوا الصالحات وتواصوا بالحق وتواصوا بالصبر,30
104,1,ويل لكل همزة لمزة,30
104,2,الذي جمع مالا وعدده,30
104,3,يحسب أن ماله أخلده,30
104,4,كلا لينبذن في الحطمة,30
104,5,وما أدراك ما الحطمة,30
104,6,نار الله الموقدة,30
104,7,التي تطلع على الأفئدة,30
104,8,إنها عليهم مؤصدة,30
104,9,في عمد ممددة,30
105,1,ألم تر كيف فعل ربك بأصحاب الفيل,30
105,2,ألم يجعل كيدهم في تضليل,30
105,3,وأرسل عليهم طيرا أبابيل,30
105,4,ترميهم بحجارة من سجيل,30
105,5,فجعلهم كعصف مأكول,30
106,1,لإيلاف قريش,30
106,2,إيلافهم رحلة الشتاء والصيف,30
106,3,فليعبدوا رب هذا البيت,30
106,4,الذي أطعمهم من جوع وآمنهم من خوف,30
107,1,أرأيت الذي يكذب بالدين,30
107,2,فذلك الذي يدع اليتيم,30
107,3,ولا يحض على طعام المسكين,30
107,4,فويل للمصلين,30
107,5,الذين هم عن صلاتهم ساهون,30
107,6,الذين هم يراءون,30
107,7,ويمنعون الماعون,30
108,1,إنا أعطيناك الكوثر,30
108,2,فصل لربك وانحر,30
108,3,إن شانئك هو الأبتر,30
109,1,قل يا أيها الكافرون,30
109,2,لا أعبد ما تعبدون,30
109,3,ولا أنتم عابدون ما أعبد,30
109,4,ولا أنا عابد ما عبدتم,30
109,5,ولا أنتم عابدون ما أعبد,30
109,6,لكم دينكم ولي دين,30
110,1,إذا جاء نصر الله والفتح,30
110,2,ورأيت الناس يدخلون في دين الله أفواجا,30
110,3,فسبح بحمد ربك واستغفره إنه كان توابا,30
111,1,تبت يدا أبي لهب وتب,30
111,2,ما أغنى عنه ماله وما كسب,30
111,3,سيصلى نارا ذات لهب,30
111,4,وامرأته حمالة الحطب,30
111,5,في جيدها حبل من مسد,30
112,1,قل هو الله أحد,30
112,2,الله الصمد,30
112,3,لم يلد ولم يولد,30
112,4,ولم يكن له كفوا أحد,30
113,1,قل أعوذ برب الفلق,30
113,2,من شر ما خلق,30
113,3,ومن شر غاسق إذا وقب,30
113,4,ومن شر النفاثات في العقد,30
113,5,ومن شر حاسد إذا حسد,30
114,1,قل أعوذ برب الناس,30
114,2,ملك الناس,30
114,3,إله الناس,30
114,4,من شر الوسواس الخناس,30
114,5,الذي يوسوس في صدور الناس,30
114,6,من الجنة والناس,30
