order_item_id,order_id,product_id,quantity,unit_price,updated_date
1,1001,101,1,"1,500.00",2026-09-17 18:00:00
2,1001,102,2,25.00,2026-09-17 18:00:00
2,1001,102,2,25.00,2026-09-17 18:10:00
4,1002,103,3,49.99,2026-09-17 18:00:00
5,1002,999,1,10.00,2026-09-17 18:00:00
6,1003,103,-1,49.99,2026-09-17 18:00:00
7,1005,109,1,899.00,2026-09-17 18:00:00
8,1005,111,1,129.00,2026-09-17 18:00:00
9,1006,106,2,320.00,2026-09-17 18:00:00
10,1006,105,1,35.00,2026-09-17 18:00:00
11,1007,107,1,189.50,2026-09-17 18:00:00
12,1007,112,5,4.50,2026-09-17 18:00:00
13,1008,110,1,849.00,2026-09-17 18:00:00
14,1008,111,2,119.00,2026-09-17 18:00:00
15,1009,115,1,25.00,2026-09-17 18:00:00
16,1010,101,1,1450.00,2026-09-17 18:00:00
17,1010,108,1,,2026-09-17 18:00:00
18,1011,114,1,89.00,2026-09-17 18:00:00
19,1011,112,10,4.25,2026-09-17 18:00:00
20,1012,113,1,450.00,2026-09-17 18:00:00
21,1012,107,2,189.50,2026-09-17 18:00:00
22,1013,103,1,49.99,2026-09-17 18:00:00
23,1013,102,3,22.00,2026-09-17 18:00:00
24,1014,109,1,899.00,2026-09-17 18:00:00
25,1014,111,1,129.00,2026-09-17 18:00:00
26,1014,105,2,35.00,2026-09-17 18:00:00
27,1015,108,1,42.00,2026-09-17 18:00:00
28,1016,115,2,25.00,2026-09-17 18:00:00
29,1017,104,1,299.00,2026-09-17 18:00:00
30,1004,101,1,1500.00,2026-09-17 18:00:00
31,1018,103,1,49.99,2026-09-17 18:00:00
32,1018,111,1,129.00,2026-09-17 18:00:00
46,1014,112,0,4.50,2026-09-17 18:00:00
47,1018,118,1,50.00,2026-09-17 18:00:00
